id,No_voie,type_de_voie,voie,surface_carrez,type_local,surface_reelle,nombre_pieces_principales,departement
18209,3.0,ALL,D ALYTUS,"43,03",Appartement,42,2,78
18210,45.0,RUE,JEAN JAURES,"58,64",Appartement,57,3,78
18211,3.0,RUE,SULLY,"86,47",Appartement,88,4,78
18212,17.0,RUE,DU PONT COLBERT,"53,77",Appartement,54,3,78
18213,54.0,AV,MAHATMA GANDHI,"83,1",Appartement,82,4,78
18214,12.0,RUE,DES ERABLES,"20,83",Appartement,20,1,78
18215,139.0,BD,DE LA REINE,"14,77",Appartement,13,1,78
18216,15.0,RUE,BORGNIS DESBORDES,"74,43",Appartement,75,4,78
18217,30.0,RUE,JEAN REY,"56,09",Appartement,57,3,78
18218,9002.0,CLOS,SAINT VIGOR,"52,1",Appartement,52,3,78
18219,17.0,RUE,DU PONT COLBERT,"63,68",Appartement,66,4,78
18220,38.0,BD,DE LA REINE,"102,51",Appartement,103,3,78
18221,1.0,PROM,DES ANGES,"45,31",Appartement,45,2,78
18222,17.0,RUE,DU PONT COLBERT,"53,28",Appartement,54,3,78
18223,15.0,RUE,ST SYMPHORIEN,"45,86",Appartement,45,2,78
18224,7.0,RUE,ROBERT DESNOS,"76,64",Appartement,77,4,78
18225,45.0,BD,DE LA REINE,"54,67",Appartement,56,2,78
18226,14.0,RUE,LAMARTINE,"74,93",Maison,72,2,78
18227,6.0,RUE,ALEXANDRE BONTEMPS,"45,75",Appartement,46,1,78
18228,101.0,AV,PIERRE CURIE,"52,91",Appartement,53,2,78
18229,9001.0,CLOS,SAINT VIGOR,"66,45",Appartement,65,4,78
18230,56.0,RUE,DE MONTREUIL,"25,09",Appartement,13,1,78
18231,3.0,RUE,D ANGOULEME,"77,56",Appartement,75,3,78
18232,10.0,BD,DE LA LIBERATION,"86,53",Appartement,86,4,78
18233,11.0,PL,PIERRE SEMARD,"90,89",Maison,78,5,78
18234,16.0,RUE,GABRIEL PERI,"31,98",Appartement,35,1,78
18235,55.0,AV,GASTON BOISSIER,"14,54",Appartement,18,1,78
18236,49.0,RUE,GABRIEL PERI,"56,32",Appartement,68,3,78
18237,14.0,SQ,JEAN COCTEAU,"94,24",Appartement,95,5,78
18238,6.0,SQ,GEORGE SAND,"98,53",Appartement,100,5,78
18239,5.0,ALL,NICOLAS POUSSIN,"42,89",Appartement,42,2,78
18240,24.0,RUE,CARUEL ST MARTIN,"26,18",Appartement,35,1,78
18241,10.0,RUE,DES DEUX FRERES,"33,14",Appartement,33,1,78
18242,2.0,RUE,EMILE DESCHAMPS,"31,26",Appartement,31,1,78
