id,No_voie,type_de_voie,voie,surface_carrez,type_local,surface_reelle,nombre_pieces_principales,departement
1,190.0,RUE,CENTRALE,"50,42",Appartement,52,2,1
2,347.0,RUE,DU CHATEAU,"48,22",Appartement,48,3,1
3,58.0,AV,DU MONT BLANC,"130,8",Appartement,130,6,1
4,140.0,RUE,DE L'ABBE JOLIVET,"109,22",Maison,109,5,1
5,39.0,RUE,BUFFON,"108,65",Appartement,91,4,1
6,28.0,AV,JEAN FALCONNIER,"31,65",Appartement,32,2,1
7,8.0,RUE,DE GENEVE,"52,58",Appartement,52,2,1
8,2.0,RUE,DU RECULET,"58,71",Appartement,60,2,1
9,1403.0,RUE,JEAN DE GINGINS,"93,23",Maison,96,4,1
10,226.0,ALL,DES CAPUCINES,117,Maison,117,5,1
11,276.0,RTE,DE POUGNY,"35,6",Appartement,36,2,1
12,79.0,CRS,DE VERDUN,"138,03",Appartement,137,5,1
13,77.0,RUE,DU COMMERCE,42,Appartement,43,2,1
14,240.0,RUE,DE PRE BAILLY,"45,36",Appartement,45,2,1
15,3.0,RUE,TURENNE,"82,6",Appartement,84,4,1
16,44.0,ALL,DU SQUARE DE LAUSANNE,"88,11",Appartement,88,4,1
17,59.0,RUE,ALEXANDRE BERARD,"164,87",Appartement,143,6,1
18,282.0,CHE,DES LONGES RAYES,"42,2",Appartement,42,2,1
19,54.0,GR,GRANDE RUE,"68,11",Appartement,65,3,1
20,1.0,RUE,DE GEX,"82,59",Appartement,75,3,1
21,17.0,LOT,LES JARDINS DE CHEVRY,"30,23",Appartement,30,1,1
22,329.0,RUE,DES CARPIERES,"24,8",Appartement,25,1,1
23,369.0,AV,CHARLES DE GAULLE,"52,6",Appartement,52,2,1
24,154.0,RUE,SUR LA VIGNETTE,"91,69",Appartement,88,3,1
25,6.0,RUE,DES USINIERS,"45,54",Appartement,45,1,1
26,2.0,RUE,DU JURA,"84,24",Appartement,83,3,1
27,54.0,RUE,MARCEL DEMIA,"68,23",Appartement,68,3,1
28,269.0,CHE,DE CHARIGNIN,"62,03",Appartement,64,3,1
29,322.0,RUE,DE BRETIGNY,"112,93",Maison,109,4,1
30,132.0,ALL,DES HETRES,"131,91",Appartement,133,4,1
31,80.0,RUE,DE MEYRIN,"63,58",Appartement,63,3,1
32,4.0,RUE,DE LA MAIRIE,"35,86",Appartement,50,3,1
33,79.0,GR,GRANDE RUE DE BULLIEZ,"70,09",Appartement,74,3,1
34,8.0,RUE,DE LA BIENNE,200,Appartement,121,4,1
35,29.0,RUE,REINE CLOTILDE,"54,84",Appartement,62,2,1
36,3.0,RUE,STE MARIE,"72,75",Appartement,73,4,1
37,956.0,RTE,DE BOURG,"94,09",Maison,88,2,1
38,1.0,AV,DU BIJOU,"71,08",Appartement,71,3,1
39,58.0,CHE,DE LA PLANCHE BRULEE,"97,03",Maison,101,4,1
40,211.0,RUE,CHANTEPIE,"44,48",Appartement,45,2,1
41,25.0,RUE,DE LA ROCHE SAMUEL,"64,21",Appartement,63,2,1
42,25.0,RUE,DE LA COMMUNE 1871,"70,1",Maison,68,3,1
43,6.0,,DE LA TOUR,"76,7",Appartement,90,4,1
44,91.0,CHE,DE LA PLANCHE BRULEE,"133,77",Appartement,120,4,1
45,3.0,RUE,DU DOCTEUR GREZEL,"107,61",Appartement,106,5,1
46,28.0,RUE,DU DOC CHARCOT,"42,78",Appartement,43,2,1
47,312.0,RUE,DES TERRASSES,"124,55",Maison,120,5,1
48,10.0,RUE,AMPERE,"68,11",Appartement,67,2,1
49,1.0,RUE,GERARD DE NERVAL,"70,78",Appartement,68,3,1
50,10.0,RUE,DES HAUTAINS,"112,3",Appartement,112,5,1
51,102.0,MAIL,DU NEUTRINO,"95,43",Maison,95,4,1
52,84.0,RUE,DE MEYRIN,"63,45",Appartement,63,3,1
53,115.0,RUE,MASONOD,"77,3",Appartement,75,4,1
54,812.0,RUE,DES VERTES CAMPAGNES,"164,18",Maison,160,6,1
55,26.0,CHE,DE LA PLANCHE BRULEE,"66,95",Appartement,67,3,1
56,2.0,RUE,DE CHAMP FUSY,"30,62",Appartement,31,1,1
57,53.0,ALL,DES PRUNUS,"165,92",Appartement,166,5,1
58,541.0,RUE,DES MONTS JURA,"51,99",Appartement,56,2,1
59,386.0,CHE,DES SOUPIRS,"63,17",Appartement,63,3,1
60,663.0,RTE,BLANCHE,"84,97",Appartement,88,3,1
61,377.0,RUE,DES ABATTOIRS,"88,7",Appartement,87,4,1
62,60.0,ALL,DES FRERES CAUDRON,"50,64",Appartement,51,2,1
63,86.0,RUE,DE LA REPUBLIQUE,38,Appartement,39,1,1
64,148.0,IMP,DU SAUGY,"70,53",Appartement,71,3,1
65,77.0,LOT,CLOS CHAMP VRILLARD,"105,68",Maison,143,6,1
66,27.0,RLE,DE L EGLISE,"46,12",Appartement,53,3,1
67,5.0,PL,DE L EGLISE,"37,63",Appartement,39,2,1
68,94.0,ALL,SIMON VAN DER MEER,"87,38",Appartement,89,4,1
69,242.0,RUE,DE PRE BAILLY,"50,33",Appartement,50,2,1
70,8.0,RTE,DE DIVONNE,"134,17",Appartement,136,4,1
71,24.0,RUE,LAMARTINE,"47,65",Appartement,62,3,1
72,88.0,RUE,DU PETIT CHAMP,"99,13",Maison,102,4,1
73,27.0,RUE,DES VERGERS,"43,42",Appartement,43,2,1
74,250.0,RUE,DES FRENES,"83,6",Maison,83,4,1
75,13.0,RUE,JEAN MONNET,"54,65",Appartement,55,2,1
76,2.0,RUE,DE LA BATISSE,"81,15",Appartement,81,3,1
77,33.0,RUE,DE GENEVE,"53,43",Appartement,56,3,1
78,30.0,RUE,DE VERSOIX,"74,85",Appartement,75,3,1
79,322.0,RUE,DE BRETIGNY,"90,33",Maison,90,4,1
80,923.0,RTE,DE MURY,"99,39",Maison,86,4,1
81,77.0,RUE,LA PIECE,"123,16",Maison,118,5,1
82,103.0,MAIL,DU NEUTRINO,"110,13",Maison,110,5,1
83,33.0,MAIL,DU NEUTRINO,"71,43",Appartement,70,3,1
84,75.0,RUE,DES VERGERS,"56,02",Appartement,56,3,1
85,27.0,RTE,DE CESSY,"85,12",Appartement,85,4,1
86,60.0,RUE,DE SAVOIE,75,Appartement,74,4,1
87,90.0,RUE,DE LAUSANNE,"135,68",Appartement,133,4,1
88,72.0,RUE,DE LA REPUBLIQUE,"35,59",Appartement,33,2,1
89,198.0,RTE,DE VOUVRAY,"62,38",Appartement,63,3,1
90,198.0,RTE,DE VOUVRAY,"92,04",Appartement,100,4,1
91,786.0,AV,DES VOIRONS,"46,05",Appartement,46,2,1
92,256.0,AV,DE BELLE FERME,"34,56",Appartement,34,2,1
93,1143.0,RUE,CLAIRES FONTAINES,"43,23",Appartement,43,2,1
94,40.0,RUE,VICTOR HUGO,"83,82",Maison,80,4,1
95,150.0,RUE,DE LA REPUBLIQUE,"38,67",Appartement,39,2,1
96,14.0,RUE,CASTELLION,88,Appartement,92,3,1
97,38.0,AV,DE VESSY,"56,96",Appartement,57,2,1
98,256.0,AV,DE BELLE FERME,"55,4",Appartement,55,3,1
99,36.0,RUE,DES APOTRES,"74,72",Appartement,79,2,1
100,91.0,,GRAND' RUE,"295,21",Appartement,190,6,1
101,88.0,RUE,DE LA PIERRE,"222,97",Maison,170,3,1
102,223.0,RUE,DES PRALETS,"113,52",Appartement,113,4,1
103,232.0,RUE,DE LA ROCHETTE,"127,2",Appartement,127,4,1
104,3.0,RUE,GEORGES CHARPAK,"47,6",Appartement,49,2,1
105,9.0,RUE,DE LA FLAUDIERE,"65,29",Appartement,74,3,1
106,392.0,RTE,DE VOUVRAY,"81,24",Appartement,83,4,1
107,5186.0,,MATAFELON,"42,89",Appartement,32,2,1
108,8.0,RUE,GEORGES MARIN,"69,66",Appartement,69,3,1
109,6066.0,RUE,DES BATTOIRS,"69,65",Appartement,69,3,1
110,1.0,ESPA,CHARLES DE GAULLE,"64,44",Appartement,64,3,1
111,54.0,RUE,ANTOINE JACQUET,"88,83",Appartement,88,4,1
112,5208.0,,LE BULOZ,"35,3",Appartement,35,3,1
113,7.0,RUE,DU DOCTEUR GREZEL,"45,5",Appartement,40,2,1
114,247.0,CHE,DE PRE DE PLANCHE,"73,77",Maison,77,4,1
115,120.0,CHE,DU MARTINET,"67,94",Appartement,67,3,1
116,12.0,RUE,DU MURET,"22,2",Appartement,30,1,1
117,47.0,RUE,DU CHANE,"48,38",Appartement,48,2,1
118,1.0,RUE,JOLIOT CURIE,"56,65",Appartement,56,2,1
119,15.0,CHE,DU LAVOIR,"32,27",Appartement,32,2,1
120,68.0,RUE,DES USINIERS,"61,54",Appartement,68,4,1
121,5001.0,ALL,HONORE DE BALZAC,"82,37",Maison,80,4,1
122,9.0,RUE,DES FRERES SERPOLLET,"53,81",Appartement,53,3,1
123,231.0,RUE,DE LA RABOUDIERE,"71,8",Appartement,71,3,1
124,80.0,RUE,DE MEYRIN,"63,54",Appartement,63,3,1
125,20.0,,HAMEAU DES CHENES,"101,52",Maison,102,6,1
126,47.0,CHE,DES ECOLIERS,"51,7",Appartement,42,2,1
127,48.0,RUE,DE GENEVE,"114,17",Appartement,115,4,1
128,40.0,IMP,DES PISTES,"21,48",Appartement,21,2,1
129,4.0,IMP,DU PEGAN,"36,21",Appartement,36,1,1
130,4.0,PL,DE L HOTEL DE VILLE,"44,24",Appartement,48,2,1
131,76.0,RUE,COLONEL XAVIER RENDU,"54,7",Appartement,54,2,1
132,18.0,AV,FRANCIS BLANCHARD,51,Appartement,54,2,1
133,711.0,RUE,DES MORAINES,"42,92",Appartement,41,2,1
134,120.0,CHE,DU MARTINET,"68,08",Appartement,67,3,1
135,35.0,RUE,BUFFON,"70,15",Appartement,69,3,1
136,20.0,RUE,PARMENTIER,"57,23",Appartement,56,2,1
137,461.0,RUE,JEAN-JACQUES ROUSSEAU,"132,16",Appartement,131,5,1
138,114.0,RUE,DU CONTE DES PERMISSIONS,"58,62",Appartement,63,2,1
139,38.0,RUE,JOSEPH MARION,"61,89",Appartement,60,3,1
140,242.0,RUE,DES VERTES CAMPAGNES,"92,45",Appartement,105,3,1
141,44.0,RUE,PASTEUR,"71,29",Appartement,71,3,1
142,34.0,RUE,DES ECOLES,"138,05",Maison,101,5,1
143,183.0,RUE,DU VIEUX BOURG,"45,12",Appartement,30,1,1
144,54.0,RUE,ARISTIDE BRIAND,"70,45",Appartement,75,3,1
145,99.0,RUE,DE L AMITIE,"78,54",Appartement,77,4,1
146,16.0,RUE,DES HAUTAINS,"52,58",Appartement,58,2,1
147,5245.0,,LES MARS,"30,98",Appartement,22,2,1
148,17.0,AV,DES ALPES,"95,66",Appartement,106,5,1
149,35.0,RUE,DES PRELES,"87,23",Appartement,87,4,1
150,78.0,AV,DU GEN SARRAIL,"92,47",Appartement,92,5,1
151,22.0,RUE,DE L AVENIR,"89,2",Appartement,89,5,1
152,7.0,RUE,TURENNE,"28,8",Appartement,40,1,1
153,86.0,RUE,GUSTAVE EIFFEL,"46,68",Appartement,46,2,1
154,16.0,AV,DU JURA,"2,36",Appartement,2,0,1
155,6.0,RUE,GEORGES MARIN,"68,92",Appartement,68,3,1
156,346.0,RUE,DE PRE BAILLY,"68,45",Appartement,68,3,1
157,195.0,IMP,DU SAUGY,"102,52",Maison,103,4,1
158,6066.0,RUE,DES BATTOIRS,"59,67",Appartement,59,2,1
159,348.0,RUE,DE PRE BAILLY,"77,86",Appartement,77,4,1
160,72.0,CHE,DES COLLINES,"105,12",Maison,106,4,1
161,86.0,RUE,DE MEYRIN,"63,27",Appartement,63,3,1
162,181.0,RUE,PARC JEAN MONNET,"133,24",Appartement,133,4,1
163,28.0,CHE,DU PEUDEX,"67,33",Appartement,63,3,1
164,62.0,CHE,DU PONT DE GREMAZ,"68,69",Appartement,65,3,1
165,1.0,ALL,ALBERT CAMUS,"58,3",Appartement,59,2,1
166,10.0,RUE,DES HAUTAINS,"111,06",Appartement,112,5,1
167,13.0,PL,DES FOURS,"117,63",Appartement,117,5,1
168,4.0,CHE,DU MARAIS,"85,12",Appartement,82,4,1
169,67.0,RTE,DE GENEVE,"42,01",Appartement,42,2,1
170,644.0,RUE,D ARBERE,"96,46",Maison,96,5,1
171,67.0,RTE,DE CHAVORNOD,"57,5",Appartement,58,3,1
172,96.0,RUE,DU JURA,"90,4",Appartement,90,4,1
173,282.0,CHE,DES LONGES RAYES,"42,59",Appartement,42,2,1
174,152.0,GR,GRANDE RUE,"50,11",Appartement,35,1,1
175,170.0,RUE,DES TERREAUX,"32,6",Appartement,33,2,1
176,399.0,RUE,DU COTEILLON,"103,62",Maison,88,4,1
177,780.0,RUE,DE LA REPUBLIQUE,"135,89",Appartement,60,2,1
178,53.0,ALL,DES PRUNUS,"166,98",Appartement,166,5,1
179,71.0,CHE,DE LA PRALAY,"58,13",Appartement,65,2,1
180,46.0,AV,DES NATIONS,"38,67",Appartement,39,2,1
181,13.0,RUE,DE LAYE,"120,5",Maison,110,5,1
182,151.0,RTE,DE BELLEVILLE,"86,8",Appartement,90,3,1
183,9.0,RUE,NEUVE,"41,82",Appartement,47,1,1
184,768.0,RUE,EDOUARD HERRIOT,"56,63",Appartement,56,2,1
185,172.0,RUE,HECTOR BERLIOZ,"79,06",Appartement,77,3,1
186,2.0,RUE,DE LYON,"65,82",Appartement,65,3,1
187,1172.0,RTE,DE GENEVE,"38,43",Appartement,44,3,1
188,62.0,CHE,DU BONATIER,"85,95",Appartement,85,4,1
189,40.0,MTE,DES CANNES,"48,42",Appartement,48,2,1
190,12.0,RUE,LUCIEN QUITTELIER,"80,87",Maison,82,4,2
191,27.0,RUE,FERNAND THUILLART,"165,11",Appartement,156,6,2
192,1.0,RUE,CONDORCET,"71,5",Appartement,72,4,2
193,15.0,RUE,DU REMPART SAINT REMY,"82,54",Appartement,82,3,2
194,11.0,RUE,BONNOT,"39,97",Appartement,41,2,2
195,2.0,RUE,MAZIN,"146,68",Appartement,158,4,2
196,13.0,RUE,PAUL DOUMER,"31,6",Appartement,40,2,2
197,20.0,RUE,DES OEUVRES DE CHINE,92,Maison,80,4,2
198,13.0,RUE,VINCHON,"73,5",Appartement,65,3,2
199,15.0,RUE,DU CHANGE,"23,82",Appartement,30,1,2
200,13.0,RUE,PAUL DOUMER,"37,3",Appartement,40,2,2
201,13.0,RUE,PAUL DOUMER,"49,1",Appartement,53,2,2
202,27.0,RUE,CARLIER HENNECART,"30,94",Appartement,31,1,2
203,9001.0,RUE,JEAN DE LA FONTAINE,"65,66",Maison,67,3,2
204,27.0,RUE,JEAN RACINE,"27,19",Appartement,27,1,2
205,10.0,PL,DU MARCHE,"46,92",Appartement,53,2,2
206,32.0,RUE,DE LA LINOTTE,"78,3",Maison,82,4,2
207,1.0,RUE,CONDORCET,"88,5",Appartement,90,5,2
208,1.0,RLE,DES NEUFLIERS,"24,05",Appartement,27,1,2
209,30.0,RUE,DE L EGLISE,"92,54",Maison,92,4,2
210,1.0,PL,BOUZIER,"60,05",Appartement,62,3,2
211,1.0,RUE,CONDORCET,89,Appartement,90,5,2
212,30.0,RUE,SERURIER,"23,86",Appartement,27,1,2
213,16.0,RUE,DE MONTEVIDEO,25,Appartement,64,3,2
214,108.0,BD,GAMBETTA,"148,41",Appartement,155,5,2
215,32.0,RUE,DE LA LINOTTE,"47,44",Appartement,48,2,2
216,32.0,RUE,DE LA LINOTTE,"80,14",Maison,90,4,2
217,32.0,RUE,DE LA LINOTTE,"53,42",Appartement,53,3,2
218,9003.0,RUE,ROBERT GODARD,"66,36",Appartement,67,3,2
219,4.0,RUE,DE LA CONGREGATION,"28,13",Appartement,29,1,2
220,21.0,RUE,AMPERE,"88,14",Maison,119,4,2
221,3.0,AV,CARNOT,"77,91",Appartement,76,3,2
222,30.0,RUE,SERURIER,"26,4",Appartement,27,1,2
223,2.0,RUE,DE LA SELLERIE,"119,4",Appartement,122,4,2
224,1.0,RUE,D ISLE,"33,49",Appartement,32,1,2
225,23.0,RUE,DU GOUVERNEMENT,"96,4",Appartement,127,4,2
226,15.0,RUE,VARLET,"53,22",Appartement,52,2,2
227,2.0,PL,FERNAND MARQUIGNY,"142,98",Appartement,143,5,2
228,36.0,RUE,DU MOULIN BOTTE,"50,16",Appartement,43,2,2
229,12.0,RUE,DES PAVEURS,"108,49",Appartement,127,4,2
230,2.0,BD,JEANNE D ARC,"29,16",Appartement,29,1,2
231,2.0,RUE,JEAN DELAPLACE,"79,27",Maison,81,4,2
232,1.0,RUE,DE LA SURCHETTE,"64,21",Appartement,67,4,2
233,18.0,RUE,QUINQUET,"121,9",Appartement,122,5,2
234,1.0,RUE,DU PONT DE LA TOURNELLE,"145,28",Maison,145,4,2
235,7.0,RUE,DE FONTENOY,"49,99",Appartement,49,3,2
236,,,LA FOSSE SALMON,"58,67",Appartement,58,2,2
237,19.0,RUE,SAINT DENIS,"55,74",Maison,50,3,2
238,3.0,RUE,ROGER SALENGRO,"77,56",Appartement,77,5,2
239,18.0,RUE,DU CHAMP BOUILLANT,"49,33",Appartement,48,2,2
240,3.0,RUE,DE LA RESISTANCE,"47,02",Appartement,36,3,2
241,14.0,RUE,PORTE CROUY,"37,18",Appartement,75,2,2
242,2.0,CHT,DE LA QUINCY,106,Maison,109,6,2
243,8.0,PTR,PETITE RUE SAINT VINCENT,"39,62",Maison,64,3,2
244,2.0,RUE,DE BAPAUME,"81,62",Appartement,81,4,2
245,10.0,PL,DE LAON,"41,42",Appartement,44,1,2
246,1.0,RUE,DES GRAVIERS,"62,15",Appartement,83,3,2
247,15.0,RUE,DU CHAMP BOUILLANT,"59,81",Appartement,59,4,2
248,20.0,RUE,NOTRE DAME,"20,45",Appartement,26,1,2
249,17.0,RUE,ALEXANDRE DUMAS,"89,56",Appartement,86,3,2
250,5.0,RUE,FERNAND BAZIN,570,Maison,110,6,2
251,5.0,PL,DU DOCTEUR MOUFLIER,"21,4",Appartement,21,1,2
252,2.0,BD,EDOUARD BRANLY,"49,46",Appartement,57,2,2
253,2.0,BD,EDOUARD BRANLY,"45,12",Appartement,44,2,2
254,4.0,PL,DE LAON,"68,95",Appartement,72,3,2
255,16.0,RUE,D OULCHY LE CHATEAU,"76,95",Appartement,76,3,2
256,12.0,AV,THIERS,"72,93",Appartement,72,2,2
257,4.0,RUE,JEAN MOULIN,"65,9",Appartement,64,3,2
258,3.0,RUE,PORTE CROUY,"31,84",Appartement,32,2,2
259,5.0,PL,DU DOCTEUR MOUFLIER,"20,69",Appartement,23,1,2
260,30.0,AV,DU GENERAL DE GAULLE,"29,36",Appartement,33,1,2
261,9.0,RUE,VICTOR HUGO,"67,85",Appartement,54,3,2
262,41.0,RUE,DU GRAND MONTOIR,"51,07",Appartement,42,3,2
263,7.0,RUE,DE PANLEU,"29,21",Appartement,30,1,2
264,30.0,AV,DU GENERAL DE GAULLE,"23,7",Appartement,25,1,2
265,10.0,PL,DE LAON,"73,94",Appartement,75,3,2
266,5.0,RUE,FERNAND BAZIN,"93,89",Maison,110,6,2
267,2.0,BD,EDOUARD BRANLY,"68,37",Appartement,67,3,2
268,2.0,BD,EDOUARD BRANLY,"73,65",Appartement,73,3,2
269,22.0,BD,JEANNE D ARC,"31,62",Appartement,32,1,2
270,12.0,AV,DE LA MARE AUX CANES,"60,2",Appartement,60,3,2
271,3.0,PL,DE L HOTEL DE VILLE,"48,5",Appartement,54,3,2
272,50.0,GR,GRANDE RUE,"57,74",Appartement,58,3,2
273,1.0,RES,RENOIR,"78,24",Appartement,75,4,2
274,2.0,RUE,PAUL CLAUDEL,"64,24",Appartement,64,3,2
275,22.0,RUE,DE LA FRATERNITE,"34,46",Appartement,33,2,3
276,2.0,RUE,DENAIN,"124,01",Appartement,77,3,3
277,22.0,RUE,DE LA FRATERNITE,"34,9",Appartement,38,1,3
278,22.0,RUE,DE LA FRATERNITE,"22,19",Appartement,22,1,3
279,14.0,RUE,CHARLES PEGUY,"83,87",Appartement,84,4,3
280,4.0,RES,PARC MONTFAULT,"107,77",Maison,112,5,3
281,11.0,RUE,DU VERT GALANT,"61,4",Appartement,60,4,3
282,16.0,IMP,DU PRE DE MOLLES,"128,8",Maison,85,5,3
283,84.0,RTE,DE LYON,"58,46",Appartement,59,3,3
284,3.0,RUE,JACQUES VINCENT,"40,06",Appartement,40,2,3
285,24.0,RUE,GASPARD ROUX,"78,3",Appartement,79,4,3
286,1.0,AV,DU DRAPEAU,106,Appartement,105,5,3
287,71.0,RUE,JEAN JAURES,"74,54",Appartement,80,3,3
288,2.0,RUE,MONTIGNAC,"81,72",Appartement,79,3,3
289,2.0,RUE,DU 11 NOVEMBRE,"67,64",Appartement,67,4,3
290,10.0,RUE,DUCHON,"42,98",Appartement,47,2,3
291,4.0,RUE,HUBERT COLOMBIER,"40,57",Appartement,45,2,3
292,9003.0,PL,DE L HORLOGE,"105,71",Appartement,119,4,4
293,7102.0,PL,DE L ENGIEN,"106,43",Appartement,133,4,4
294,7003.0,RES,LES MELEZES,"29,74",Appartement,31,1,4
295,9500.0,TRA,DU CAMPING,"65,4",Appartement,66,3,4
296,1.0,RUE,DES MONGES,"144,6",Appartement,120,4,4
297,7066.0,,STATION DE SAINT JEAN,"24,74",Appartement,24,1,4
298,9002.0,PL,DU DOCTEUR ROBERT,"32,89",Appartement,33,1,4
299,7192.0,,LA CHAPELLE,"20,92",Appartement,20,1,4
300,,PL,DES AIRES,"93,76",Appartement,120,4,4
301,7078.0,RTE,DE MAZAGRAND,"20,73",Appartement,20,1,4
302,7037.0,,LE VILLAGE,"26,6",Appartement,27,2,4
303,6.0,RUE,GRANDE,40,Appartement,50,3,4
304,7034.0,,ADRECH DE CHAUVET,"27,46",Appartement,26,1,4
305,25.0,AV,FRANCOIS CUZIN,"51,42",Appartement,51,2,4
306,20.0,RUE,DU VALLON DE FARINE,"71,39",Maison,71,3,4
307,7002.0,,STATION DE SAINT JEAN,"41,16",Appartement,49,2,4
308,7042.0,,LE VILLAGE,"65,5",Appartement,32,2,4
309,7398.0,,PONT DE LABRAU OUEST,"34,95",Appartement,35,2,4
310,24.0,LOT,LOTISSEMENT DU BERARD,"60,66",Appartement,52,3,4
311,7052.0,RES,LES CHENEVRIERS,"24,32",Appartement,25,1,4
312,12.0,CHE,DES ALPAGES,"23,02",Appartement,23,1,4
313,25.0,RUE,PRINCIPALE,"59,73",Appartement,63,2,4
314,7300.0,CHE,DES BEAUMES,"33,05",Appartement,33,2,4
315,39.0,BD,VICTOR HUGO,"23,25",Appartement,23,1,4
316,9482.0,RES,LE VALLON DES SOURCES,"30,47",Appartement,30,2,4
317,32.0,BD,VICTOR HUGO,"28,33",Appartement,29,1,4
318,5081.0,,LE SUPERSAUZE,"35,97",Appartement,44,1,4
319,26.0,,LE PONT,"20,85",Maison,32,2,4
320,7178.0,,PONT DE LABRAU,"20,55",Appartement,21,1,4
321,2.0,IMP,DE CARUPE,"142,9",Appartement,147,5,4
322,7153.0,,LES HAUTES PLAINES,"18,44",Appartement,18,1,4
323,5112.0,RES,LES MARGUERITES,"26,76",Appartement,30,1,4
324,4.0,PL,DE LA MAIRIE,"53,1",Appartement,51,2,4
325,5230.0,,LE SUPERSAUZE,"35,2",Appartement,23,2,4
326,7153.0,,LES HAUTES PLAINES,"18,84",Appartement,18,1,4
327,6.0,,ANCIENNE RTE D FORCALQUIER,"80,26",Appartement,80,3,4
328,7096.0,,BEAUDINE,"76,81",Appartement,74,4,4
329,3.0,PL,DE LA REPUBLIQUE,"79,54",Appartement,80,3,4
330,53.0,RUE,DELEUZE,"72,07",Appartement,85,2,4
331,7023.0,,GRANDE MONTAGNE,"29,66",Appartement,29,2,4
332,7052.0,,LES AUCHES,"29,03",Appartement,37,2,4
333,181.0,ALL,DES AVETTES,"82,37",Maison,79,5,4
334,5.0,AV,MARCEL ANDRE,"33,8",Appartement,41,2,4
335,7218.0,,LACHAUD ET CHAUVET,"19,72",Appartement,19,1,4
336,320.0,AV,DU DCT BERNARD FOUSSIER,15,Appartement,98,4,4
337,6.0,RUE,ANDRE HONNORAT,"58,96",Appartement,60,3,4
338,155.0,RUE,DOC CASIMIR CAIRE,"42,73",Appartement,42,2,4
339,5637.0,AV,DES THERMES,"25,32",Appartement,27,1,4
340,7054.0,,LA CHAPELLE,"14,41",Appartement,20,1,4
341,3.0,RUE,TANNERIE,"38,97",Appartement,60,2,4
342,118.0,RUE,POTERIE,"44,44",Appartement,35,3,4
343,1.0,REM,DES CORDELIERS,"27,26",Maison,29,1,4
344,9002.0,,LES LAVANDES,"83,88",Appartement,84,5,4
345,,RES,LES MARMOTTES BLEUES,"25,55",Appartement,29,2,4
346,5038.0,,LE VILLAGE,"40,4",Appartement,38,1,4
347,9.0,RUE,FONT CHAUDE,"136,86",Appartement,44,2,4
348,7089.0,,SAINT PIERRE,"90,75",Appartement,87,4,4
349,5154.0,RUE,DE LA FERRAILLE,"59,36",Maison,66,2,4
350,7215.0,,LA SESTRIERE,"26,99",Appartement,27,1,4
351,3.0,TRA,DES EAUX CHAUDES,"67,22",Appartement,68,3,4
352,1.0,RUE,JULES BOURDIN,"39,16",Appartement,30,2,4
353,5637.0,AV,DES THERMES,"25,07",Appartement,27,1,4
354,14.0,ALL,DE PROVENCE,"63,73",Appartement,68,3,4
355,5028.0,CHE,DE STE ANNETTE,"102,87",Appartement,100,4,4
356,36.0,AV,HENRI JAUBERT,"82,11",Appartement,81,4,4
357,117.0,AV,DES THERMES,"23,35",Appartement,24,1,4
358,9001.0,RES,JEANNE D ARC,"30,05",Appartement,31,1,4
359,20.0,RUE,MARIUS DEBOUT,"49,2",Appartement,51,2,4
360,7224.0,,LES HAUTES PLAINES,"24,25",Appartement,24,1,4
361,,RES,PRA CHAUVET,"37,55",Appartement,36,2,4
362,7009.0,,ADRECH DE CHAUVET,"108,85",Appartement,81,2,4
363,,RES,LES MELEZES,"73,99",Appartement,59,3,4
364,7215.0,,STATION DE SAINT JEAN,"28,02",Appartement,28,1,4
365,7113.0,,LES SAGNES,"22,91",Appartement,27,1,4
366,7024.0,,LES HAUTES PLAINES,"27,36",Appartement,27,1,4
367,7023.0,,LES HAUTES PLAINES,"27,22",Appartement,27,1,4
368,3.0,RUE,DU FRESQUIE,"92,94",Maison,95,4,4
369,,RES,LE CEZANNE,"30,95",Appartement,30,1,4
370,20.0,ALL,DE PROVENCE,"62,43",Appartement,60,2,4
371,3.0,TRA,DES EAUX CHAUDES,"35,71",Appartement,36,1,4
372,7102.0,RTE,DU LAC,"61,53",Appartement,61,2,4
373,5038.0,,LES VIEUX BAINS,"27,18",Appartement,26,1,4
374,29.0,RUE,NATIONALE,18,Appartement,18,1,4
375,,RES,LE CHRISTIANA,"24,87",Appartement,25,1,4
376,5177.0,RUE,GRANDE,"62,85",Appartement,70,3,4
377,9013.0,BD,PAUL MARTIN NALIN,"56,52",Appartement,54,3,4
378,11.0,RUE,DE L ANCIENNE MAIRIE,"52,45",Appartement,70,4,4
379,9001.0,,LA COLETTE,67,Appartement,64,4,4
380,7028.0,,MAZAGRAND,"28,48",Appartement,28,1,4
381,9001.0,,LA COLETTE,"54,33",Appartement,54,3,4
382,8.0,MTE,DU CHASTEL,"35,65",Appartement,46,2,4
383,5.0,AV,DES THERMES,"21,35",Appartement,23,1,4
384,,RES,LA BERANGERE,"32,84",Appartement,33,1,4
385,5004.0,AV,GEORGES DE SALVE,"19,28",Appartement,19,1,4
386,30.0,AV,DES ARCADES,"55,5",Appartement,61,2,4
387,15.0,CHE,DES AJONCS,"73,48",Appartement,75,4,4
388,40.0,AV,JEAN MOULIN,"75,06",Appartement,74,3,4
389,4.0,RUE,DES ALPES,"83,46",Appartement,82,4,4
390,42.0,CHE,DES SALETTES,"89,06",Maison,93,4,4
391,7091.0,,CHANTEMERLE,"25,08",Appartement,24,2,4
