Valeur fonciere,Code postal,Commune,Surface Carrez du 1er lot,Type local,Surface reelle bati,Nombre pieces principales
292000.0,1280.0,PREVESSIN-MOENS,71.43,Appartement,70,3
200000.0,1710.0,THOIRY,56.02,Appartement,56,3
315800.0,1210.0,VERSONNEX,85.12,Appartement,85,4
167000.0,1200.0,VALSERHONE,75.0,Appartement,74,4
640000.0,1220.0,DIVONNE-LES-BAINS,135.68,Appartement,133,4
74000.0,1500.0,AMBERIEU-EN-BUGEY,35.59,Appartement,33,2
232550.0,1200.0,VALSERHONE,62.38,Appartement,63,3
90000.0,1200.0,VALSERHONE,92.04,Appartement,100,4
282000.0,1220.0,DIVONNE-LES-BAINS,46.05,Appartement,46,2
152000.0,1170.0,GEX,34.56,Appartement,34,2
164000.0,1150.0,SAINT-VULBAS,43.23,Appartement,43,2
389500.0,1210.0,FERNEY-VOLTAIRE,83.82,Maison,80,4
43000.0,1300.0,BELLEY,38.67,Appartement,39,2
139130.0,1100.0,OYONNAX,88.0,Appartement,92,3
229100.0,1210.0,FERNEY-VOLTAIRE,56.96,Appartement,57,2
222450.0,1170.0,GEX,55.4,Appartement,55,3
147500.0,1500.0,AMBERIEU-EN-BUGEY,74.72,Appartement,79,2
440000.0,1550.0,COLLONGES,295.21,Appartement,190,6
495000.0,1170.0,ECHENEVEX,222.97,Maison,170,3
510000.0,1210.0,ORNEX,113.52,Appartement,113,4
170000.0,1260.0,CHAMPAGNE-EN-VALROMEY,127.2,Appartement,127,4
251500.0,1630.0,ST-GENIS-POUILLY,47.6,Appartement,49,2
98000.0,1640.0,JUJURIEUX,65.29,Appartement,74,3
132300.0,1200.0,VALSERHONE,81.24,Appartement,83,4
126000.0,1580.0,MATAFELON-GRANGES,42.89,Appartement,32,2
131500.0,1200.0,VALSERHONE,69.66,Appartement,69,3
266960.0,1710.0,THOIRY,69.65,Appartement,69,3
114500.0,1100.0,OYONNAX,64.44,Appartement,64,3
181970.0,1200.0,VALSERHONE,88.83,Appartement,88,4
70000.0,1260.0,HAUT-VALROMEY,35.3,Appartement,35,3
45000.0,1130.0,NANTUA,45.5,Appartement,40,2
375000.0,1280.0,PREVESSIN-MOENS,73.77,Maison,77,4
247000.0,1170.0,CESSY,67.94,Appartement,67,3
16300.0,1100.0,OYONNAX,22.2,Appartement,30,1
60000.0,1100.0,ARBENT,48.38,Appartement,48,2
164000.0,1200.0,VALSERHONE,56.65,Appartement,56,2
93585.0,1150.0,SAINT-VULBAS,32.27,Appartement,32,2
210000.0,1170.0,GEX,61.54,Appartement,68,4
120000.0,1300.0,BELLEY,82.37,Maison,80,4
50000.0,1350.0,CULOZ,53.81,Appartement,53,3
174850.0,1360.0,LOYETTES,71.8,Appartement,71,3
223905.0,1210.0,FERNEY-VOLTAIRE,63.54,Appartement,63,3
540000.0,1710.0,THOIRY,101.52,Maison,102,6
230000.0,1220.0,DIVONNE-LES-BAINS,51.7,Appartement,42,2
445000.0,1210.0,FERNEY-VOLTAIRE,114.17,Appartement,115,4
44000.0,1410.0,LELEX,21.48,Appartement,21,2
145900.0,1210.0,FERNEY-VOLTAIRE,36.21,Appartement,36,1
57000.0,1640.0,JUJURIEUX,44.24,Appartement,48,2
138000.0,1200.0,VALSERHONE,54.7,Appartement,54,2
190000.0,1170.0,GEX,51.0,Appartement,54,2
182000.0,1170.0,CHEVRY,42.92,Appartement,41,2
271000.0,1170.0,CESSY,68.08,Appartement,67,3
114400.0,1200.0,VALSERHONE,70.15,Appartement,69,3
98000.0,1200.0,VALSERHONE,57.23,Appartement,56,2
505000.0,1630.0,ST-GENIS-POUILLY,132.16,Appartement,131,5
289150.0,1220.0,DIVONNE-LES-BAINS,58.62,Appartement,63,2
104000.0,1200.0,VALSERHONE,61.89,Appartement,60,3
245000.0,1170.0,GEX,92.45,Appartement,105,3
115000.0,1150.0,LAGNIEU,71.29,Appartement,71,3
483800.0,1630.0,ST-GENIS-POUILLY,138.05,Maison,101,5
185000.0,1170.0,SEGNY,45.12,Appartement,30,1
188000.0,1500.0,AMBERIEU-EN-BUGEY,70.45,Appartement,75,3
185000.0,1300.0,BELLEY,78.54,Appartement,77,4
162000.0,1630.0,ST-GENIS-POUILLY,52.58,Appartement,58,2
76000.0,1410.0,MIJOUX,30.98,Appartement,22,2
367000.0,1210.0,FERNEY-VOLTAIRE,95.66,Appartement,106,5
324050.0,1630.0,SERGY,87.23,Appartement,87,4
170000.0,1500.0,AMBERIEU-EN-BUGEY,92.47,Appartement,92,5
79370.0,1200.0,VALSERHONE,89.2,Appartement,89,5
69800.0,1200.0,VALSERHONE,28.8,Appartement,40,1
54120.0,1100.0,BELLIGNAT,46.68,Appartement,46,2
116500.0,1210.0,FERNEY-VOLTAIRE,2.36,Appartement,2,0
136000.0,1200.0,VALSERHONE,68.92,Appartement,68,3
234810.0,1170.0,GEX,68.45,Appartement,68,3
410000.0,1210.0,ORNEX,102.52,Maison,103,4
205000.0,1710.0,THOIRY,59.67,Appartement,59,2
294000.0,1170.0,GEX,77.86,Appartement,77,4
620000.0,1630.0,SERGY,105.12,Maison,106,4
230000.0,1210.0,FERNEY-VOLTAIRE,63.27,Appartement,63,3
469820.0,1630.0,ST-GENIS-POUILLY,133.24,Appartement,133,4
371550.0,1220.0,DIVONNE-LES-BAINS,67.33,Appartement,63,3
315000.0,1710.0,THOIRY,68.69,Appartement,65,3
82500.0,1200.0,VALSERHONE,58.3,Appartement,59,2
439785.0,1630.0,ST-GENIS-POUILLY,111.06,Appartement,112,5
65000.0,1300.0,BELLEY,117.63,Appartement,117,5
469000.0,1280.0,PREVESSIN-MOENS,85.12,Appartement,82,4
161000.0,1170.0,CESSY,42.01,Appartement,42,2
513350.0,1220.0,DIVONNE-LES-BAINS,96.46,Maison,96,5
83000.0,1300.0,BELLEY,57.5,Appartement,58,3
471810.0,1220.0,DIVONNE-LES-BAINS,90.4,Appartement,90,4
220470.0,1170.0,CESSY,42.59,Appartement,42,2
243000.0,1220.0,DIVONNE-LES-BAINS,50.11,Appartement,35,1
100000.0,1170.0,GEX,32.6,Appartement,33,2
193700.0,1150.0,LAGNIEU,103.62,Maison,88,4
100000.0,1550.0,FARGES,135.89,Appartement,60,2
595600.0,1630.0,ST-GENIS-POUILLY,166.98,Appartement,166,5
225000.0,1170.0,CROZET,58.13,Appartement,65,2
106000.0,1330.0,VILLARS-LES-DOMBES,38.67,Appartement,39,2
203400.0,1800.0,MEXIMIEUX,120.5,Maison,110,5
212150.0,1090.0,MONTCEAUX,86.8,Appartement,90,3
102000.0,1120.0,MONTLUEL,41.82,Appartement,47,1
150200.0,1480.0,JASSANS-RIOTTIER,56.63,Appartement,56,2
129400.0,1480.0,BEAUREGARD,79.06,Appartement,77,3
130000.0,1800.0,MEXIMIEUX,65.82,Appartement,65,3
84800.0,1120.0,DAGNEUX,38.43,Appartement,44,3
282600.0,1390.0,MIONNAY,85.95,Appartement,85,4
145100.0,1800.0,VILLIEU-LOYES-MOLLON,48.42,Appartement,48,2
